"","score","gene_symbol","uniprot"
"135",0.0905020050010408,"CCNA2","P20248"
"136",0.0898743088976474,"TNFRSF10A","O00220"
"137",0.089745157853166,"CTSL","P07711"
"138",0.0891702931133227,"GPI","P06744"
"139",0.0889791908503336,"VDAC1","P21796"
"140",0.088185358623066,"DNM2","P50570"
"141",0.0881355507335468,"CCNA1","P78396"
"142",0.0879293341117128,"DBF4","Q9UBU7"
"143",0.0871764168320309,"SKAP2","O75563"
"144",0.0871550719773571,"PA2G4","Q9UQ80"
"145",0.0870813473416563,"ARNT","P27540"
"146",0.0862798005647416,"CASP2","P42575"
"147",0.0851565850530888,"CDKN3","Q16667"
"148",0.0846226423480062,"SIAH1","Q8IUQ4"
"149",0.0838375886255284,"CDC34","P49427"
"150",0.0837328244181919,"DLL1","O00548"
"151",0.083680741562297,"MTDH","Q86UE4"
"152",0.0820000380347028,"PCNA","P12004"
"153",0.0819566200920087,"NME1","P15531"
"154",0.0817053655250293,"FANCC","Q00597"
"155",0.0813299855474904,"BAK1","Q16611"
"156",0.0813179152083627,"FBXW7","Q969H0"
"157",0.0812397196988308,"RBPJL","Q9UBG7"
"158",0.0811874370884758,"COL1A2","P08123"
"159",0.0806203271202825,"CDKN2A","Q8N726"
"160",0.0792065971417838,"TIMP3","P35625"
"161",0.0791985743447959,"HSF1","Q00613"
"162",0.0786824421792017,"NOTCH4","Q99466"
"163",0.0781043892416361,"NCKAP1L","P55160"
"164",0.0775742264080193,"APAF1","O14727"
"165",0.076879392907457,"MYOD1","P15172"
"166",0.0764773968003814,"NOTCH2","Q04721"
"167",0.0755116416187697,"CCND2","P30279"
"168",0.0749593446986388,"MAZ","P56270"
"169",0.0748299245410556,"RCC1","P18754"
"170",0.0741129123569883,"MYCN","P04198"
"171",0.0728812034177351,"SP3","Q02447"
"172",0.0727707042520652,"PTMA","P06454"
"173",0.0723429020810848,"TFDP1","Q14186"
"174",0.0718549260876339,"CCND3","P30281"
"175",0.0715768198035161,"HPSE","Q9Y251"
"176",0.0714421587606368,"NRIP1","P48552"
"177",0.0706312121081058,"PLK3","Q9H4B4"
"178",0.0702805998792852,"NFKB2","Q00653"
"179",0.06988329827062,"HK2","P52789"
"180",0.0695935425183109,"WNT2","P09544"
"181",0.0692685615293037,"STK24","Q9Y6E0"
"182",0.069148231624589,"BIRC3","Q13489"
"183",0.0689798221477166,"CCNE1","P24864"
"184",0.0689130452999868,"GADD45A","P24522"
"185",0.0688969056765449,"XPC","Q01831"
"186",0.0688529297343505,"CASP9","P55211"
"187",0.0687703197587581,"GSTP1","P09211"
"188",0.0686495452072958,"TICAM2","Q86XR7"
"189",0.0685798788199086,"PKN1","Q16512"
"190",0.0685591289319202,"SSB","P05455"
"191",0.0682793176653224,"BAX","Q07812"
"192",0.067804808916323,"TERT","O14746"
"193",0.0676771808765736,"CSNK2B","P67870"
"194",0.0676695654370484,"NEDD4","P46934"
"195",0.0669178874499687,"EIF4G1","Q04637"
"196",0.0667501831606913,"GTF2E1","P29083"
"197",0.0667501831606913,"GTF3A","Q92664"
"198",0.0665750560699955,"SP1","P08047"
"199",0.0663103564354895,"YY1","P25490"
"200",0.0661317860034968,"GTF2A1","P52655"
"201",0.0661317860034968,"GTF2B","Q00403"
"202",0.0658324362074608,"RBPJ","Q06330"
"203",0.0648108920608681,"E2F5","Q15329"
"204",0.0639262177542541,"CKS1B","P61024"
"205",0.0636581973747188,"MSX1","P28360"
"206",0.0636581973747188,"IFRD1","O00458"
"207",0.0635536151120207,"NRP2","O60462"
"208",0.0634624033841119,"CSNK2A1","P68400"
"209",0.0633738234867883,"PSMA3","P25788"
"210",0.0632196893596823,"FHL2","Q14192"
"211",0.0630465171878126,"PTTG1","O95997"
"212",0.0629205445185814,"POLR2F","P61218"
"213",0.0628738358165991,"MCL1","Q07820"
"214",0.0628152916725253,"APC","P25054"
"215",0.0626217968460723,"PRNP","P04156"
"216",0.0625254675115043,"CYCS","P99999"
"217",0.062430992749524,"IGFBP3","P17936"
"218",0.0611907518722834,"CDC6","Q99741"
"219",0.0611810571383353,"CFLAR","O15519"
"220",0.0609166746597389,"RBL1","P28749"
"221",0.0604943813736813,"E2F4","Q16254"
"222",0.0603869932634502,"FLI1","Q01543"
"223",0.0595280654902546,"SMC3","Q9UQE7"
"224",0.0594670558122139,"PIP5K1A","Q99755"
"225",0.0593111743862466,"PKN2","Q16513"
"226",0.0593046482877762,"PRDM1","O75626"
"227",0.0592194123394264,"SH3KBP1","Q96B97"
"228",0.0591153477321093,"ATF1","P18846"
"229",0.058734906372118,"DDX5","P17844"
"230",0.0585555798152688,"CDK1","P06493"
