"","score","gene_symbol","uniprot"
"133",0.0759053025455431,"DLL3","Q9NYJ7"
"134",0.075243017396556,"MYLK3","Q32MK0"
"135",0.0750442091211137,"HK2","P52789"
"136",0.0729534091517606,"EIF2B4","Q9UI10"
"137",0.0715784573437669,"SP3","Q02447"
"138",0.0712136268401843,"APOA1","P02647"
"139",0.0710879461634919,"RAC3","P60763"
"140",0.0708068845044569,"E2F3","O00716"
"141",0.0702775406600603,"PLK3","Q9H4B4"
"142",0.0697968222725136,"F2","P00734"
"143",0.0695264424445997,"GSTP1","P09211"
"144",0.0686854219458607,"ARHGDIA","P52565"
"145",0.0686253645245897,"RAD51","Q06609"
"146",0.0683714159734495,"RHOU","Q7L0Q8"
"147",0.0679972849337277,"NFKB2","Q00653"
"148",0.0675859950047739,"RAC2","P15153"
"149",0.0672755964081053,"NOTCH4","Q99466"
"150",0.067068750138604,"COL1A2","P08123"
"151",0.0670065054184047,"EIF2B2","P49770"
"152",0.0669105458104256,"SNAI2","O43623"
"153",0.0654197388151921,"XPC","Q01831"
"154",0.0654197388151921,"GTF2H4","Q92759"
"155",0.0651668046704738,"ARHGEF2","Q92974"
"156",0.0646319891202448,"LTBP1","Q14766"
"157",0.0644089505753381,"E2F5","Q15329"
"158",0.0642730751606022,"TFDP2","Q14188"
"159",0.0640664325057241,"FZD4","Q9ULV1"
"160",0.0631061948610019,"TRIO","O75962"
"161",0.0626096935745697,"SIAH1","Q8IUQ4"
"162",0.062517860135836,"HTT","P42858"
"163",0.0622477215510883,"CABLES1","Q8TDN4"
"164",0.0622141592273396,"BECN1","Q14457"
"165",0.0620313242406096,"GADD45A","P24522"
"166",0.061992746660984,"HTRA2","O43464"
"167",0.0618222775600083,"PREX1","Q8TCU6"
"168",0.0617649522123611,"RASSF5","Q8WWW0"
"169",0.0615169880693786,"NME1","P15531"
"170",0.0606499053535226,"MADD","Q8WXG6"
"171",0.060619659856128,"CDC6","Q99741"
"172",0.0606033095892967,"CDKN2A","Q8N726"
"173",0.0602515787260659,"BUB1","O43683"
"174",0.0602108227812313,"BIRC3","Q13489"
"175",0.0593818191107059,"MAP3K2","Q9Y2U5"
"176",0.059106151299267,"NDRG1","Q92597"
"177",0.0588571316292328,"TXK","P42681"
"178",0.0582552097898322,"F2RL3","Q96RI0"
"179",0.0580238743513599,"TNFRSF10A","O00220"
"180",0.0578341066269321,"FZD8","Q9H461"
"181",0.0577674577881365,"TFDP1","Q14186"
"182",0.0577476569049157,"BMPR1B","O00238"
"183",0.0577057096720331,"SH3KBP1","Q96B97"
"184",0.0572680949317387,"NCF1","P14598"
"185",0.0569432320641208,"FANCI","Q9NVI1"
"186",0.0566560086535354,"IER3","P46695"
"187",0.0564241335268084,"RGS16","O15492"
"188",0.0561953876162514,"ABI1","Q8IZP0"
"189",0.0560353445299459,"PPP1R14A","Q96A00"
"190",0.0555984188517298,"PALB2","Q86YC2"
"191",0.0554426926618534,"CYCS","P99999"
"192",0.0551848574997635,"VRK1","Q99986"
"193",0.0550366391580855,"ILK","Q13418"
"194",0.0544434754008257,"TP73","O15350"
"195",0.0541804282663808,"ACVR1","Q04771"
"196",0.0541757948292386,"NOTCH3","Q9UM47"
"197",0.0540510349314186,"GIT1","Q9Y2X7"
"198",0.0539527561419544,"RALGDS","Q12967"
"199",0.0536589853402322,"CFLAR","O15519"
"200",0.0534807485234456,"ARF6","P62330"
"201",0.0527311153081289,"BLK","P51451"
"202",0.0523888512597282,"RCC1","P18754"
"203",0.0521334785070489,"KAT2B","Q92831"
